96.82,5.01,10014
96.89,5.01,10021
58.65,5.01,10030
68.26,5.02,10037
84.61,5.02,10044
69.11,5.02,10052
69.88,5.03,10059
79.14,5.03,10066
69.11,5.03,10074
71.56,5.04,10082
75.42,5.04,10089
70.72,5.04,10096
73.67,5.05,10104
72.40,5.05,10112
71.98,5.05,10119
73.67,5.06,10126
73.25,5.06,10134
72.89,5.06,10141
73.32,5.07,10148
73.32,5.07,10157
97.32,5.07,10165
97.25,5.08,10173
97.25,5.08,10181
97.32,5.08,10189
96.82,5.09,10198
97.25,5.09,10206
97.25,5.09,10214
98.58,5.10,10223
96.89,5.10,10231
97.39,5.11,10240
97.74,5.11,10248
97.74,5.11,10256
97.67,5.12,10264
96.82,5.12,10272
96.96,5.12,10280
97.32,5.13,10290
96.89,5.13,10298
97.32,5.13,10306
97.25,5.14,10314
96.89,5.14,10322
97.32,5.14,10331
96.82,5.15,10339
97.39,5.15,10347
97.39,5.16,10355
97.39,5.16,10363
96.82,5.16,10373
96.82,5.17,10381
96.89,5.17,10389
96.89,5.17,10397
97.32,5.18,10405
96.82,5.18,10414
96.89,5.18,10422
97.32,5.19,10430
97.67,5.19,10438
96.82,5.19,10446
97.25,5.20,10456
96.89,5.20,10464
96.82,5.21,10472
97.25,5.21,10480
97.32,5.21,10488
97.67,5.22,10497
97.81,5.22,10505
97.74,5.22,10514
97.32,5.23,10522
96.89,5.23,10530
97.32,5.23,10539
96.82,5.24,10547
97.25,5.24,10555
96.96,5.25,10563
96.96,5.25,10571
96.89,5.25,10579
97.32,5.26,10588
97.32,5.26,10596
96.96,5.26,10605
97.74,5.27,10613
97.81,5.27,10621
96.89,5.27,10630
97.32,5.28,10638
96.40,5.28,10646
96.82,5.28,10654
97.32,5.29,10662
96.89,5.29,10672
96.89,5.30,10679
98.51,5.30,10688
96.89,5.30,10696
96.82,5.31,10704
97.32,5.31,10713
97.25,5.31,10721
96.89,5.32,10729
97.32,5.32,10737
96.89,5.32,10745
97.32,5.33,10755
96.82,5.33,10763
96.89,5.34,10771
96.89,5.34,10779
99.00,5.34,10787
97.32,5.35,10796
96.89,5.35,10804
97.32,5.35,10812
97.32,5.36,10820
97.32,5.36,10828
97.25,5.36,10838
97.25,5.37,10846
96.89,5.37,10854
97.32,5.38,10862
97.32,5.38,10870
97.39,5.38,10878
97.32,5.39,10887
96.89,5.39,10895
96.89,5.39,10903
96.82,5.40,10911
96.89,5.40,10919
96.89,5.41,10928
96.89,5.41,10937
98.58,5.41,10945
97.39,5.42,10953
97.81,5.42,10961
97.32,5.42,10970
97.32,5.43,10978
96.89,5.43,10986
97.39,5.43,10994
97.32,5.44,11002
96.82,5.44,11012
96.89,5.44,11020
96.82,5.45,11028
96.82,5.45,11036
98.93,5.46,11044
97.39,5.46,11053
96.89,5.46,11061
97.25,5.47,11069
97.32,5.47,11077
96.82,5.47,11086
97.74,5.48,11095
97.32,5.48,11103
97.32,5.48,11111
96.89,5.49,11119
96.82,5.49,11127
97.39,5.50,11136
96.82,5.50,11144
97.32,5.50,11152
96.47,5.51,11161
97.25,5.51,11169
97.32,5.51,11177
96.82,5.52,11186
96.89,5.52,11194
97.74,5.52,11202
97.32,5.53,11210
97.67,5.53,11218
96.89,5.54,11227
97.32,5.54,11236
96.82,5.54,11244
97.74,5.55,11252
98.16,5.55,11260
96.89,5.55,11269
96.89,5.56,11277
96.89,5.56,11285
98.93,5.56,11293
97.25,5.57,11301
96.89,5.57,11311
97.32,5.58,11319
97.32,5.58,11327
96.89,5.58,11335
96.89,5.59,11343
96.89,5.59,11352
96.89,5.59,11360
97.25,5.60,11368
97.32,5.60,11376
97.32,5.60,11384
99.07,5.61,11393
97.81,5.61,11402
96.82,5.62,11410
96.89,5.62,11418
97.67,5.62,11426
96.82,5.63,11435
97.32,5.63,11443
97.32,5.63,11451
96.82,5.64,11459
97.53,5.64,11467
96.89,5.64,11475
96.89,5.65,11484
97.25,5.65,11493
96.89,5.65,11501
96.89,5.66,11509
96.89,5.66,11517
96.89,5.67,11526
96.40,5.67,11534
96.40,5.67,11542
97.25,5.68,11550
96.89,5.68,11558
97.32,5.68,11567
96.82,5.69,11576
96.82,5.69,11584
96.89,5.69,11592
96.89,5.70,11600
96.89,5.70,11609
96.82,5.70,11617
96.89,5.71,11625
96.89,5.71,11633
96.82,5.72,11641
96.82,5.72,11650
96.89,5.72,11658
96.89,5.73,11666
98.65,5.73,11674
96.82,5.73,11683
97.25,5.74,11692
96.40,5.74,11700
97.39,5.74,11708
97.39,5.75,11716
97.39,5.75,11724
96.89,5.76,11732
96.82,5.76,11741
97.25,5.76,11749
97.39,5.77,11757
96.89,5.77,11765
96.89,5.77,11773
96.54,5.78,11783
96.89,5.78,11791
96.82,5.78,11799
96.89,5.79,11807
97.32,5.79,11815
