26.16,0.72,,222032
24.82,0.41,222036
24.89,0.53,222041
24.89,0.53,222046
24.96,0.41,222050
24.89,0.41,222054
24.89,0.34,222059
24.96,0.60,222063
24.89,0.41,222067
24.82,0.53,222072
24.47,0.60,222076
24.82,0.34,222081
24.89,0.60,222086
24.89,0.41,222090
24.40,0.53,222094
24.82,0.60,222099
24.47,0.53,222103
24.82,0.60,222107
24.96,0.41,222112
24.89,0.53,222116
24.96,0.53,222120
24.89,0.47,222125
24.89,0.47,222130
24.96,0.53,222134
24.89,0.41,222138
24.96,0.47,222143
24.40,0.53,222147
24.47,0.60,222151
24.96,0.41,222156
24.82,0.47,222160
24.96,0.53,222164
24.89,0.47,222170
24.89,0.53,222174
24.82,0.41,222178
24.89,0.41,222183
24.89,0.41,222187
24.89,0.41,222191
24.40,0.47,222196
24.89,0.47,222200
24.89,0.28,222204
24.89,0.41,222209
24.89,0.34,222214
24.47,0.47,222218
24.82,0.60,222222
24.47,0.53,222227
24.40,0.47,222231
24.89,0.28,222235
24.82,0.41,222240
24.89,0.47,222244
24.82,0.47,222248
24.89,0.28,222254
24.40,0.34,222258
24.82,0.47,222262
24.47,0.53,222266
24.47,0.41,222271
24.89,0.47,222275
24.89,0.53,222279
24.47,0.47,222284
24.82,-0.04,222288
24.96,0.41,222292
24.89,0.53,222298
24.89,0.47,222302
24.40,0.09,222306
24.89,0.09,222311
24.47,0.09,222315
24.89,0.15,222319
24.89,0.09,222324
24.82,0.03,222328
24.47,0.03,222332
24.82,0.09,222337
24.40,0.09,222342
24.89,-0.04,222346
24.47,0.09,222350
24.47,0.15,222355
24.89,0.09,222359
24.47,0.09,222363
24.82,-0.04,222368
24.47,0.03,222372
24.40,0.09,222376
24.89,0.15,222382
24.82,0.09,222386
24.47,0.09,222390
24.82,-0.04,222394
24.47,0.03,222399
24.89,0.09,222403
24.40,-0.04,222407
24.89,0.03,222412
24.89,0.22,222416
24.40,0.03,222420
24.47,0.03,222426
24.47,0.03,222430
24.40,0.09,222434
24.82,0.03,222439
24.40,-0.04,222443
24.82,0.09,222447
24.40,0.09,222451
24.82,0.03,222456
24.47,0.15,222460
24.82,0.09,222465
24.82,0.15,222470
24.47,0.15,222474
24.47,0.03,222478
24.89,0.09,222483
24.89,-0.04,222487
24.82,0.22,222491
24.89,-0.04,222496
24.82,-0.04,222500
24.82,0.09,222504
24.82,0.15,222510
24.54,0.03,222514
24.47,-0.04,222518
24.82,0.03,222522
24.40,-0.04,222527
25.32,0.09,222531
24.47,0.03,222535
24.82,-0.10,222540
24.47,0.03,222544
24.40,-0.04,222548
24.89,0.15,222554
24.89,0.15,222558
24.47,-0.04,222562
24.89,-0.04,222567
24.82,0.09,222571
24.89,0.03,222575
24.54,0.09,222580
24.89,0.03,222584
25.25,0.09,222588
24.82,0.28,222594
24.89,0.03,222598
24.47,0.03,222602
24.89,0.09,222606
24.89,0.34,222611
24.89,0.47,222615
24.47,0.41,222619
24.89,0.41,222624
24.40,0.53,222628
24.40,0.41,222632
24.40,0.53,222638
24.40,0.47,222642
24.40,0.41,222646
24.47,0.47,222650
24.40,0.53,222655
24.82,0.47,222659
24.89,0.34,222663
24.89,0.47,222668
24.96,0.53,222672
24.47,0.47,222676
24.89,0.47,222682
24.89,0.41,222686
24.82,0.53,222690
24.47,0.60,222695
24.82,0.53,222699
24.47,0.60,222703
24.89,0.47,222708
24.89,0.47,222712
24.89,0.34,222716
24.96,0.47,222721
24.47,0.53,222726
24.47,0.34,222730
24.47,0.47,222734
24.54,0.53,222739
24.47,0.47,222743
24.47,0.53,222747
24.40,0.47,222752
24.47,0.53,222756
24.40,0.41,222760
24.89,0.47,222766
24.89,0.60,222770
24.82,0.53,222774
24.96,0.60,222778
24.89,0.34,222783
24.82,0.47,222787
24.89,0.34,222791
24.82,0.47,222796
24.54,0.53,222800
24.40,0.47,222804
24.89,0.47,222810
24.82,0.41,222814
24.89,0.53,222818
24.47,0.47,222823
24.47,0.34,222827
24.47,0.34,222831
24.89,0.53,222835
24.82,0.47,222840
24.40,0.60,222844
24.82,0.34,222849
24.82,0.47,222854
24.82,0.53,222858
24.82,0.41,222862
24.96,0.53,222867
24.89,0.41,222871
24.89,0.47,222875
24.47,0.34,222880
24.82,0.41,222884
24.47,0.53,222888
24.89,0.47,222893
24.82,0.53,222898
25.04,0.47,222902
24.47,0.47,222906
24.89,0.53,222911
24.89,0.41,222915
24.89,0.47,222919
24.47,0.47,222924
24.82,0.09,222928
24.89,0.15,222932
24.82,0.15,222938
24.47,0.09,222942
24.40,0.15,222946
24.40,0.03,222951
24.40,0.03,222955
24.89,0.03,222959
24.40,0.09,222963
24.40,0.09,222968
24.54,0.03,222972
24.47,-0.04,222977
24.82,0.09,222982
24.96,0.03,222986
24.40,0.09,222990
24.40,0.03,222995
24.47,0.09,222999
24.47,0.03,223003
24.40,0.28,223007
24.82,0.03,223012
24.82,0.03,223016
24.47,-0.04,223021
24.89,0.09,223026
24.89,0.09,223030
24.82,0.03,223034
24.47,0.03,223039
24.54,-0.04,223043
24.47,0.15,223047
24.54,0.03,223052
24.47,-0.04,223056
24.40,-0.04,223060
24.47,-0.10,223065
24.47,0.09,223070
24.82,-0.04,223074
24.47,-0.04,223078
24.40,0.09,223083
24.40,0.15,223087
24.40,0.09,223091
24.47,0.15,223096
24.47,0.15,223100
24.47,0.03,223105
24.40,-0.04,223109
24.89,0.22,223114
24.82,0.03,223118
24.47,0.03,223122
24.82,0.03,223127
24.40,-0.04,223131
24.54,0.15,223135
24.47,-0.04,223140
24.89,0.09,223144
24.82,0.09,223149
24.54,0.03,223154
24.54,-0.04,223158
24.47,0.03,223162
24.54,0.09,223167
24.82,0.09,223171
24.89,0.09,223175
24.89,0.03,223179
24.82,0.03,223184
24.47,0.09,223188
24.89,0.09,223193
24.82,0.09,223198
24.47,0.09,223202
24.89,0.09,223206
24.47,-0.04,223211
24.40,0.28,223215
24.89,-0.04,223219
24.82,-0.04,223224
24.82,-0.04,223228
24.54,0.03,223233
24.47,0.09,223237
24.82,0.03,223242
24.54,0.03,223246
24.89,0.47,223250
24.54,0.53,223255
24.82,0.41,223259
24.47,0.53,223263
24.89,0.41,223268
24.82,0.34,223272
24.96,0.41,223277
24.40,0.41,223282
24.82,0.41,223286
24.96,0.28,223290
24.82,0.41,223295
24.40,0.47,223299
24.47,0.47,223303
24.96,0.53,223308
24.82,0.41,223312
24.82,0.53,223316
24.40,0.41,223321
24.82,0.47,223326
24.40,0.47,223330
24.82,0.47,223334
24.47,0.41,223339
24.82,0.53,223343
24.89,0.53,223347
24.89,0.41,223352
24.47,0.53,223356
24.47,0.53,223361
24.82,0.53,223366
24.89,0.34,223370
24.47,0.60,223374
24.82,0.53,223379
24.89,0.41,223383
24.82,0.66,223387
24.40,0.41,223391
24.47,0.34,223396
24.89,0.47,223400
24.47,0.41,223405
24.89,0.47,223410
24.82,0.34,223414
24.82,0.47,223418
24.82,0.60,223423
24.96,0.47,223427
24.82,0.53,223431
24.40,0.47,223436
24.82,0.53,223440
24.89,0.53,223444
24.82,0.47,223450
24.40,0.66,223454
24.40,0.34,223458
24.40,0.60,223462
24.82,0.53,223467
24.47,0.41,223471
24.89,0.47,223475
24.47,0.34,223480
24.89,0.60,223484
24.82,0.47,223489
24.54,0.47,223494
24.89,0.60,223498
24.54,0.41,223502
24.89,0.41,223507
24.47,0.41,223511
24.40,0.53,223515
24.82,0.53,223519
24.89,0.47,223524
24.96,0.66,223528
24.40,0.47,223533
24.82,0.47,223538
24.47,0.34,223542
24.89,0.34,223546
24.47,0.60,223551
24.82,0.34,223555
24.89,0.34,223559
24.47,0.34,223564
24.82,0.09,223568
24.82,0.41,223572
24.40,0.41,223578
24.96,0.47,223582
24.40,0.15,223586
24.89,0.09,223591
24.89,0.09,223595
24.89,0.03,223599
24.82,0.03,223603
24.54,0.09,223608
24.89,-0.04,223612
24.54,0.03,223617
24.47,0.09,223622
24.47,0.03,223626
24.47,0.28,223630
24.82,0.09,223635
24.40,0.09,223639
24.40,0.09,223643
24.89,0.09,223647
24.47,0.03,223652
24.89,0.15,223656
24.82,0.09,223661
24.89,0.09,223666
24.47,0.09,223670
24.89,-0.04,223674
24.82,-0.10,223679
24.89,-0.04,223683
24.40,0.03,223687
24.47,-0.04,223692
24.47,0.03,223696
24.40,0.03,223700
24.89,0.09,223706
24.40,0.09,223710
24.47,0.03,223714
24.89,-0.04,223718
24.89,0.09,223723
24.47,0.15,223727
24.47,0.15,223731
24.82,0.15,223736
24.40,0.03,223740
24.89,-0.04,223745
24.47,0.03,223750
24.89,0.09,223754
24.82,0.09,223758
24.40,0.09,223763
24.89,-0.04,223767
24.89,0.09,223771
24.40,0.03,223775
24.82,0.03,223780
24.47,0.03,223784
24.89,0.09,223789
24.82,0.15,223794
24.47,0.03,223798
24.89,0.09,223802
24.82,0.15,223807
24.40,0.03,223811
24.89,0.03,223815
24.40,0.03,223820
24.89,0.03,223824
24.47,0.09,223828
24.47,0.22,223833
24.89,0.03,223838
24.89,0.03,223842
24.89,0.09,223846
24.89,0.09,223851
24.89,-0.04,223855
24.82,-0.04,223859
24.89,0.03,223864
24.89,0.03,223868
24.82,0.09,223873
24.82,0.09,223878
24.82,-0.10,223882
24.89,0.09,223886
24.47,0.41,223890
24.40,0.47,223895
24.82,0.41,223899
24.82,0.66,223903
24.54,0.41,223908
24.89,0.47,223912
24.47,0.47,223917
24.89,0.41,223922
24.89,0.41,223926
24.82,0.47,223930
24.47,0.41,223935
24.82,0.47,223939
24.96,0.41,223943
24.40,0.53,223948
24.82,0.53,223952
24.89,0.41,223956
24.82,0.53,223962
24.82,0.47,223966
24.96,0.60,223970
24.47,0.47,223974
24.89,0.47,223979
24.47,0.53,223983
24.40,0.47,223987
24.89,0.47,223992
24.89,0.41,223996
24.89,0.47,224001
24.47,0.47,224006
24.89,0.47,224010
24.89,0.60,224014
24.89,0.41,224019
24.40,0.53,224023
24.82,0.53,224027
24.96,0.47,224032
24.89,0.60,224036
24.82,0.53,224040
24.89,0.60,224045
24.89,0.53,224050
24.89,0.41,224054
24.82,0.66,224058
24.82,0.53,224063
24.96,0.47,224067
24.40,0.34,224071
24.82,0.47,224076
24.40,0.53,224080
24.47,0.34,224084
24.40,0.47,224090
24.89,0.41,224094
24.89,0.47,224098
24.47,0.53,224102
24.89,0.41,224107
24.89,0.53,224111
24.82,0.47,224115
24.40,0.41,224120
24.89,0.53,224124
24.82,0.41,224129
24.47,0.41,224134
24.82,0.34,224138
24.40,0.41,224142
24.82,0.47,224147
24.89,0.47,224151
24.89,0.53,224155
24.54,0.41,224160
24.89,0.47,224164
24.82,0.47,224168
24.47,0.34,224173
24.89,0.66,224178
24.47,0.47,224182
24.96,0.47,224186
24.89,0.53,224191
24.40,0.47,224195
24.82,0.47,224199
24.40,0.47,224204
24.82,0.22,224208
24.54,0.15,224212
24.89,0.15,224218
24.89,-0.04,224222
24.82,0.03,224226
24.47,0.09,224231
24.82,0.09,224235
24.47,0.15,224239
24.40,0.03,224243
24.89,0.09,224248
24.47,0.15,224252
24.47,-0.04,224257
24.89,0.03,224262
24.82,0.09,224266
24.89,0.03,224270
24.40,0.09,224275
24.47,0.09,224279
24.40,-0.04,224283
24.89,0.15,224288
24.54,0.09,224292
24.47,0.03,224296
24.47,0.09,224301
24.54,0.03,224306
24.82,0.15,224310
24.40,0.09,224314
24.89,-0.04,224319
24.82,0.03,224323
24.89,0.09,224327
24.47,0.03,224332
24.47,0.09,224336
24.82,0.03,224340
24.40,0.15,224345
24.82,0.03,224350
24.89,0.22,224354
24.82,0.15,224358
24.40,0.03,224363
24.89,0.09,224367
24.82,0.09,224371
24.40,0.15,224376
24.40,-0.04,224380
24.40,0.09,224385
24.89,-0.10,224390
24.89,-0.04,224394
24.40,0.09,224398
24.82,0.03,224402
24.47,0.03,224407
24.54,0.09,224411
24.47,-0.04,224415
24.47,0.09,224420
24.82,0.09,224424
24.82,0.03,224429
24.40,0.09,224434
24.47,-0.10,224438
24.47,-0.10,224442
24.89,0.15,224447
24.82,0.09,224451
24.82,0.15,224455
24.96,0.09,224459
24.47,0.15,224464
24.82,-0.04,224468
24.47,0.15,224473
24.54,0.03,224478
24.47,0.09,224482
24.40,-0.04,224486
24.54,-0.04,224491
24.47,0.03,224495
24.82,0.03,224499
24.54,0.09,224504
24.47,0.03,224508
24.47,0.09,224513
24.47,0.09,224517
24.40,-0.04,224522
24.47,0.03,224526
24.40,0.53,224530
24.40,0.41,224535
24.47,0.47,224539
24.47,0.47,224543
24.47,0.41,224547
24.54,0.47,224552
24.40,0.41,224557
24.82,0.60,224561
24.96,0.53,224566
24.47,0.47,224570
24.82,0.53,224574
24.89,0.47,224579
24.82,0.47,224583
24.89,0.47,224587
24.89,0.47,224592
24.54,0.47,224596
24.47,0.41,224601
24.82,0.47,224606
24.89,0.53,224610
24.96,0.53,224614
24.47,0.53,224618
24.82,0.41,224623
24.89,0.41,224627
24.82,0.60,224631
24.40,0.53,224636
24.40,0.34,224641
24.40,0.53,224645
24.47,0.47,224650
24.82,0.53,224654
24.89,0.53,224658
24.89,0.47,224663
24.89,0.47,224667
24.89,0.47,224671
24.89,0.47,224676
24.47,0.47,224680
24.54,0.47,224685
24.82,0.41,224689
